Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
22-DEC-2022,18288.8,18318.75,18068.6,18127.35,195699650,16725.23
23-DEC-2022,17977.65,18050.45,17779.5,17806.8,221454773,18486.94
26-DEC-2022,17830.4,18084.1,17774.25,18014.6,176652342,13708.21
27-DEC-2022,18089.8,18149.25,17967.45,18132.3,214257094,13000.64
28-DEC-2022,18084.75,18173.1,18068.35,18122.5,193873167,13997.59
29-DEC-2022,18045.7,18229.7,17992.8,18191,281052828,18466.05
30-DEC-2022,18259.1,18265.25,18080.3,18105.3,192005563,14475.22
31-OCT-2022,17910.2,18022.8,17899.9,18012.2,227174539,19846.47
01-NOV-2022,18130.7,18175.8,18060.15,18145.4,349924808,26796.59
02-NOV-2022,18177.9,18178.75,18048.65,18082.85,270878019,20072.62
03-NOV-2022,17968.35,18106.3,17959.2,18052.7,212968291,16037.78
04-NOV-2022,18053.4,18135.1,18017.15,18117.15,267941526,21062.54
07-NOV-2022,18211.75,18255.5,18064.75,18202.8,314758398,25124.84
09-NOV-2022,18288.25,18296.4,18117.5,18157,307155149,23344.58
10-NOV-2022,18044.35,18103.1,17969.4,18028.2,256451785,19848.06
11-NOV-2022,18272.35,18362.3,18259.35,18349.7,378469072,30732.11
14-NOV-2022,18376.4,18399.45,18311.4,18329.15,301401961,21697.66
15-NOV-2022,18362.75,18427.95,18282,18403.4,250926391,17836.19
16-NOV-2022,18398.25,18442.15,18344.15,18409.65,219268992,19732.87
17-NOV-2022,18358.7,18417.6,18312.95,18343.9,200512910,16410.36
18-NOV-2022,18382.95,18394.6,18209.8,18307.65,198794846,16553.69
21-NOV-2022,18246.4,18262.3,18133.35,18159.95,213794598,15037.5
22-NOV-2022,18179.15,18261.85,18137.7,18244.2,177681099,14750.98
23-NOV-2022,18325.2,18325.4,18246,18267.25,178791087,15674.45
24-NOV-2022,18326.1,18529.7,18294.25,18484.1,204044559,18218.35
25-NOV-2022,18528.45,18534.9,18445.1,18512.75,205876043,17112.8
28-NOV-2022,18430.55,18614.25,18365.6,18562.75,206468884,19006.92
29-NOV-2022,18552.45,18678.1,18552.15,18618.05,195255179,16568.17
30-NOV-2022,18625.7,18816.05,18616.55,18758.35,345636288,32757.21
01-DEC-2022,18871.95,18887.6,18778.2,18812.5,324955829,22216.65
02-DEC-2022,18752.4,18781.95,18639.2,18696.1,254401004,20233.76
05-DEC-2022,18719.55,18728.6,18591.35,18701.05,288393766,19471.83
06-DEC-2022,18600.65,18654.9,18577.9,18642.75,217777090,17772.27
07-DEC-2022,18638.85,18668.3,18528.4,18560.5,200501720,17496.8
08-DEC-2022,18570.85,18625,18536.95,18609.35,202811256,19277.65
09-DEC-2022,18662.4,18664.7,18410.1,18496.6,215839572,20317.78
12-DEC-2022,18402.15,18521.55,18345.7,18497.15,193883468,16688.2
13-DEC-2022,18524.4,18617.25,18490.2,18608,187585567,16536.17
14-DEC-2022,18671.25,18696.1,18632.9,18660.3,208030337,16626
15-DEC-2022,18614.4,18652.9,18387.7,18414.9,183127544,15618.55
16-DEC-2022,18319.1,18440.95,18255.15,18269,277650193,23292.95
19-DEC-2022,18288.1,18431.65,18244.55,18420.45,154847475,14455.23
20-DEC-2022,18340.3,18404.9,18202.65,18385.3,169041783,15038.56
21-DEC-2022,18435.15,18473.35,18162.75,18199.1,187594274,17223.44
22-DEC-2022,18288.8,18318.75,18068.6,18127.35,195699650,16725.23
23-DEC-2022,17977.65,18050.45,17779.5,17806.8,221454773,18486.94
26-DEC-2022,17830.4,18084.1,17774.25,18014.6,176652342,13708.21
27-DEC-2022,18089.8,18149.25,17967.45,18132.3,214257094,13000.64
28-DEC-2022,18084.75,18173.1,18068.35,18122.5,193873167,13997.59
29-DEC-2022,18045.7,18229.7,17992.8,18191,281052828,18466.05
30-DEC-2022,18259.1,18265.25,18080.3,18105.3,192005563,14475.22
02-JAN-2023,18131.7,18215.15,18086.5,18197.45,256073979,11793.06
03-JAN-2023,18163.2,18251.95,18149.8,18232.55,208699772,13680.91
04-JAN-2023,18230.65,18243,18020.6,18042.95,235162202,16687.71
05-JAN-2023,18101.95,18120.3,17892.6,17992.15,269949738,22108.53
06-JAN-2023,18008.05,18047.4,17795.55,17859.45,238220578,17495.25
09-JAN-2023,17952.55,18141.4,17936.15,18101.2,257237669,19916.16
10-JAN-2023,18121.3,18127.6,17856,17914.15,283277918,20570.3
11-JAN-2023,17924.25,17976.35,17824.35,17895.7,259853294,20204.33
12-JAN-2023,17920.85,17945.8,17761.65,17858.2,227769060,19762.43
13-JAN-2023,17867.5,17999.35,17774.25,17956.6,256700729,21341.7
16-JAN-2023,18033.15,18049.65,17853.65,17894.85,206195816,16728.37
17-JAN-2023,17922.8,18072.05,17886.95,18053.3,219055125,17461.09
18-JAN-2023,18074.3,18183.75,18032.45,18165.35,255840928,20500.07
19-JAN-2023,18119.8,18155.2,18063.75,18107.85,237833991,18413.13
20-JAN-2023,18115.6,18145.45,18016.2,18027.65,237225269,19519.96
23-JAN-2023,18118.45,18162.6,18063.45,18118.55,202460434,17060.12
24-JAN-2023,18183.95,18201.25,18078.65,18118.3,216910302,19705.91
25-JAN-2023,18093.35,18100.6,17846.15,17891.95,257227052,20890.56
27-JAN-2023,17877.2,17884.75,17493.55,17604.35,476342611,40104.83
30-JAN-2023,17541.95,17709.15,17405.55,17648.95,432434028,38159.88
31-JAN-2023,17731.45,17735.7,17537.55,17662.15,398338541,35023.7
01-FEB-2023,17811.6,17972.2,17353.4,17616.3,512870802,38486.19
02-FEB-2023,17517.1,17653.9,17445.95,17610.4,490113567,37639.96
03-FEB-2023,17721.75,17870.3,17584.2,17854.05,424123037,34503.67
06-FEB-2023,17818.55,17823.7,17698.35,17764.6,282544790,21864.88
07-FEB-2023,17790.1,17811.15,17652.55,17721.5,354395693,23611.08
08-FEB-2023,17750.3,17898.7,17744.15,17871.7,290994265,23733.4
09-FEB-2023,17885.5,17916.9,17779.8,17893.45,260854055,21529.97
10-FEB-2023,17847.55,17876.95,17801,17856.5,231991834,17063.99
13-FEB-2023,17859.1,17880.7,17719.75,17770.9,231276483,17406.31
14-FEB-2023,17840.35,17954.55,17800.05,17929.85,244512944,20579.8
15-FEB-2023,17896.6,18034.1,17853.8,18015.85,229273800,21457.34
16-FEB-2023,18094.75,18134.75,18000.65,18035.85,230246175,18891.55
17-FEB-2023,17974.85,18034.25,17884.6,17944.2,208053929,16998.33
20-FEB-2023,17965.55,18004.35,17818.4,17844.6,174563233,14729.07
21-FEB-2023,17905.8,17924.9,17800.3,17826.7,198248205,15593.09
22-FEB-2023,17755.35,17772.5,17529.45,17554.3,204021979,17162.09
23-FEB-2023,17574.65,17620.05,17455.4,17511.25,240807918,19313.68
24-FEB-2023,17591.35,17599.75,17421.8,17465.8,209406363,16100.18
27-FEB-2023,17428.6,17451.6,17299,17392.7,246448847,16638.41
28-FEB-2023,17383.25,17440.45,17255.2,17303.95,420881259,32959.77
01-MAR-2023,17360.1,17467.75,17345.25,17450.9,272881409,19784.53
02-MAR-2023,17421.5,17445.8,17306,17321.9,310669094,22068.68
03-MAR-2023,17451.25,17644.75,17427.7,17594.35,356169518,24143.96
06-MAR-2023,17680.35,17799.95,17671.95,17711.45,362801096,26959.41
08-MAR-2023,17665.75,17766.5,17602.25,17754.4,267041402,23155.56
09-MAR-2023,17772.05,17772.35,17573.6,17589.6,262352056,21964.17
10-MAR-2023,17443.8,17451.5,17324.35,17412.9,235927570,19794.73
13-MAR-2023,17421.9,17529.9,17113.45,17154.3,254914657,22860.67
14-MAR-2023,17160.55,17224.65,16987.1,17043.3,290604200,26057.6
15-MAR-2023,17166.45,17211.35,16938.9,16972.15,248188970,22659.09
16-MAR-2023,16994.65,17062.45,16850.15,16985.6,349820607,24198.71
17-MAR-2023,17111.8,17145.8,16958.15,17100.05,408121255,30478.42
20-MAR-2023,17066.6,17066.6,16828.35,16988.4,241777405,21454.09
21-MAR-2023,17060.4,17127.7,17016,17107.5,246737873,22039.11
22-MAR-2023,17177.45,17207.25,17107.85,17151.9,185700457,15712
23-MAR-2023,17097.4,17205.4,17045.3,17076.9,219171517,19676.97
24-MAR-2023,17076.2,17109.45,16917.35,16945.05,228038299,19019.88
27-MAR-2023,16984.3,17091,16918.55,16985.7,218418670,18466.56
28-MAR-2023,17031.75,17061.75,16913.75,16951.7,238840919,20942.5
29-MAR-2023,16977.3,17126.15,16940.6,17080.7,345911087,27261.74
31-MAR-2023,17210.35,17381.6,17204.65,17359.75,263889033,24970.98
03-APR-2023,17427.95,17428.05,17312.75,17398.05,230170687,20359.58
05-APR-2023,17422.3,17570.55,17402.7,17557.05,248345193,23911.75
06-APR-2023,17533.85,17638.7,17502.85,17599.15,242708337,23543.21
10-APR-2023,17634.9,17694.1,17597.95,17624.05,254819382,21092.06
11-APR-2023,17704.8,17748.75,17655.15,17722.3,304263454,25841.64
12-APR-2023,17759.55,17825.75,17717.25,17812.4,232816318,22851.93
13-APR-2023,17807.3,17842.15,17729.65,17828,285764798,26460.2
17-APR-2023,17863,17863,17574.05,17706.85,357401212,35118.57
18-APR-2023,17766.6,17766.6,17610.2,17660.15,258856690,23032.99
19-APR-2023,17653.35,17666.15,17579.85,17618.75,281463379,21562.08
20-APR-2023,17638.6,17684.45,17584.35,17624.45,215103396,19457.45
21-APR-2023,17639.75,17663.2,17553.95,17624.05,230156645,19091.44
24-APR-2023,17707.55,17754.5,17612.5,17743.4,255740393,23142.94
25-APR-2023,17761.55,17807.45,17716.85,17769.25,297445999,28819.53
26-APR-2023,17767.3,17827.75,17711.2,17813.6,233008677,21295.14
27-APR-2023,17813.1,17931.6,17797.9,17915.05,241434660,24454.15
28-APR-2023,17950.4,18089.15,17885.3,18065,290263674,27026.12
02-MAY-2023,18124.8,18180.25,18101.75,18147.65,265216308,23615.47
03-MAY-2023,18113.8,18116.35,18042.4,18089.85,226171254,19079.79
04-MAY-2023,18081,18267.45,18066.7,18255.8,226643581,21889.48
05-MAY-2023,18117.3,18216.95,18055.45,18069,239702311,26152.88
08-MAY-2023,18120.6,18286.95,18100.3,18264.4,228399379,22687.94
09-MAY-2023,18303.4,18344.2,18229.65,18265.95,245368649,23478.06
10-MAY-2023,18313.6,18326.75,18211.95,18315.1,220450874,21416.41
11-MAY-2023,18357.8,18389.7,18270.4,18297,248932544,26440.1
12-MAY-2023,18273.75,18342.75,18194.55,18314.8,241702589,22046.04
15-MAY-2023,18339.3,18458.9,18287.9,18398.85,216088535,19329.75
16-MAY-2023,18432.35,18432.35,18264.35,18286.5,219490491,21063.78
17-MAY-2023,18300.45,18309,18115.35,18181.75,229898510,20903.12
18-MAY-2023,18287.5,18297.2,18104.85,18129.95,272103515,24172.44
19-MAY-2023,18186.15,18218.1,18060.4,18203.4,260898407,22105.67
22-MAY-2023,18201.1,18335.25,18178.85,18314.4,262560942,25147.58
23-MAY-2023,18362.9,18419.75,18324.2,18348,270354216,28648.15
24-MAY-2023,18294.8,18392.6,18262.95,18285.4,232621507,24273.17
25-MAY-2023,18268.9,18338.1,18202.4,18321.15,235915651,22411.41
26-MAY-2023,18368.35,18508.55,18333.15,18499.35,198668359,19094.08
29-MAY-2023,18619.15,18641.2,18581.25,18598.65,265323978,19237.57
30-MAY-2023,18606.65,18662.45,18575.5,18633.85,234391323,21660.69
31-MAY-2023,18594.2,18603.9,18483.85,18534.4,696495765,70755.08
01-JUN-2023,18579.4,18580.3,18464.55,18487.75,265630759,24056.99
02-JUN-2023,18550.85,18573.7,18478.4,18534.1,270923679,23171.88
05-JUN-2023,18612,18640.15,18582.8,18593.85,256111496,20369.16
06-JUN-2023,18600.8,18622.75,18531.6,18599,220789926,21957.47
07-JUN-2023,18665.6,18738.95,18636,18726.4,260109671,21482.77
08-JUN-2023,18725.35,18777.9,18615.6,18634.55,286468927,22762.3
09-JUN-2023,18655.9,18676.65,18555.4,18563.4,221760885,20181.42
12-JUN-2023,18595.05,18633.6,18559.75,18601.5,179463966,15386.04
13-JUN-2023,18631.8,18728.9,18631.8,18716.15,233167883,22612.62
14-JUN-2023,18744.6,18769.7,18690,18755.9,261354575,19520.08
15-JUN-2023,18774.45,18794.1,18669.05,18688.1,263004991,24820.77
16-JUN-2023,18723.3,18864.7,18710.5,18826,272771256,28877.67
19-JUN-2023,18873.3,18881.45,18719.15,18755.45,219815214,22699.84
20-JUN-2023,18752.35,18839.7,18660.65,18816.7,211649257,19687.08
21-JUN-2023,18849.4,18875.9,18794.85,18856.85,217481345,19102.48
22-JUN-2023,18853.6,18886.6,18759.5,18771.25,252697871,24990.87
23-JUN-2023,18741.85,18756.4,18647.1,18665.5,210562119,20619.6
26-JUN-2023,18682.35,18722.05,18646.7,18691.2,171271325,17355.14
27-JUN-2023,18748.55,18829.25,18714.25,18817.4,222464605,21415.89
28-JUN-2023,18908.15,19011.25,18861.35,18972.1,398782019,37356.94
30-JUN-2023,19076.85,19201.7,19024.6,19189.05,247906587,26376.62
03-JUL-2023,19246.5,19345.1,19234.4,19322.55,226050219,22681.54
04-JUL-2023,19406.6,19434.15,19300,19389,226916635,26634.06
05-JUL-2023,19405.95,19421.6,19339.6,19398.5,224418797,24699.24
06-JUL-2023,19385.7,19512.2,19373,19497.3,268261285,28540.18
07-JUL-2023,19422.8,19523.6,19303.6,19331.8,237102566,23089.25
10-JUL-2023,19400.35,19435.85,19327.1,19355.9,268246132,25991.55
11-JUL-2023,19427.1,19515.1,19406.45,19439.4,251263638,26883.78
12-JUL-2023,19497.45,19507.7,19361.75,19384.3,327941559,40163.14
